Customer_ID,Product_Name,interaction_score
ZB019348,Ethical Savings Account,1.8000000000000003
ZB019479,Timeless Savings Account,1.5000000000000002
ZB033831,Zenith Platinum Premium Current Account,2.7
ZB034908,Zenith Salary Savings Account,1.5000000000000002
ZB040460,Salary Advance,1.5000000000000002
ZB039506,Salary Advance,1.5000000000000002
ZB080316,Scan To Pay (QR Payments),1.5000000000000002
ZB084778,EazySave Classic Account,1.8000000000000003
ZB018100,Zenith Mobile Banking App,2.4000000000000004
ZB069357,Timeless Current Account,2.7
ZB006894,Zenith Salary Savings Account,2.1000000000000005
ZB012320,Education Loan,1.5000000000000002
ZB013162,Timeless Savings Account,2.4000000000000004
ZB006894,Zenith Platinum Premium Current Account,2.7
ZB032073,Zenith Salary Savings Account,2.4000000000000004
ZB043035,GlobalPay - Zenith Payment Gateway,0.9000000000000001
ZB027124,Zenith Individual Current Account,1.8000000000000003
ZB081770,Timeless Savings Account,1.2000000000000002
ZB086594,Scan To Pay (QR Payments),1.5000000000000002
ZB003884,Zenith Individual Savings Account,2.1000000000000005
ZB010951,Zenith Individual Current Account,2.4000000000000004
ZB045121,Zenith Salary Savings Account,1.8000000000000003
ZB071148,EazySave Classic Account,1.8000000000000003
ZB076571,Timeless Current Account,3.0000000000000004
ZB030640,Timeless Current Account,2.4000000000000004
ZB061368,Education Loan,1.5000000000000002
ZB064835,Household Acquisition Loan,1.8000000000000003
ZB087168,EazySave Classic Account,1.8000000000000003
ZB012237,EazySave Classic Account,1.8000000000000003
ZB013003,Zenith Mobile Banking App,1.5000000000000002
ZB051526,Timeless Savings Account,2.7
ZB052382,ZIVA - Zenith Intelligent Virtual Assistant,1.8000000000000003
ZB049206,Zenith Individual Savings Account,2.7
ZB074934,Education Loan,2.1000000000000005
ZB076262,Scan To Pay (QR Payments),1.5000000000000002
ZB015949,Scan To Pay (QR Payments),1.8000000000000003
ZB034525,Zenith Salary Savings Account,1.5000000000000002
ZB071576,Save4Me Target Account,1.5000000000000002
ZB016673,Scan To Pay (QR Payments),1.8000000000000003
ZB042500,Scan To Pay (QR Payments),1.2000000000000002
ZB091935,Zenith Individual Savings Account,2.1000000000000005
ZB019647,EazySave Classic Account,2.1000000000000005
ZB047927,Education Loan,1.5000000000000002
ZB058440,Scan To Pay (QR Payments),1.5000000000000002
ZB069230,Timeless Current Account,2.4000000000000004
ZB045445,EazySave Classic Account,2.1000000000000005
ZB072376,Zenith Individual Savings Account,2.4000000000000004
ZB073326,Zenith Salary Savings Account,2.1000000000000005
ZB080366,Timeless Savings Account,1.2000000000000002
ZB011745,Timeless Savings Account,2.7
ZB015949,ZIVA - Zenith Intelligent Virtual Assistant,2.1000000000000005
ZB017642,Timeless Current Account,2.7
ZB036930,EazySave Classic Account,2.4000000000000004
ZB039272,Education Loan,2.1000000000000005
ZB062498,Zenith Salary Savings Account,2.1000000000000005
ZB090232,Zenith Platinum Premium Current Account,1.8000000000000003
ZB009249,Save4Me Target Account,1.8000000000000003
ZB063059,Salary Advance,1.2000000000000002
ZB004503,Zenith Salary Savings Account,1.8000000000000003
ZB026073,EazySave Classic Account,1.5000000000000002
ZB078991,EazySave Classic Account,2.1000000000000005
ZB082178,Aspire Account,2.7
ZB033220,EazySave Classic Account,2.1000000000000005
ZB061368,Zenith Individual Savings Account,2.4000000000000004
ZB085037,Timeless Savings Account,2.4000000000000004
ZB095153,Zenith Salary Savings Account,1.8000000000000003
ZB035416,Save4Me Target Account,1.2000000000000002
ZB089935,EazySave Classic Account,1.8000000000000003
ZB013162,Education Loan,1.2000000000000002
ZB015949,Zenith Individual Savings Account,1.5000000000000002
ZB034072,Zenith Individual Current Account,2.7
ZB009941,Save4Me Target Account,1.8000000000000003
ZB083234,Zenith Salary Savings Account,0.9000000000000001
ZB092071,Zenith Salary Savings Account,1.2000000000000002
ZB006618,ZIVA - Zenith Intelligent Virtual Assistant,1.8000000000000003
ZB085691,Scan To Pay (QR Payments),1.5000000000000002
ZB026128,EazySave Classic Account,1.8000000000000003
ZB052580,Timeless Current Account,3.0000000000000004
ZB059300,Zenith Gold Premium Current Account,2.7
ZB073515,EazySave Classic Account,1.8000000000000003
ZB075089,Education Loan,2.1000000000000005
ZB082571,Timeless Savings Account,1.2000000000000002
ZB013003,Education Loan,1.8000000000000003
ZB014514,Zenith Individual Current Account,2.4000000000000004
ZB053335,Zenith Individual Current Account,2.7
ZB010139,EazySave Classic Account,1.8000000000000003
ZB033725,Save4Me Target Account,1.8000000000000003
ZB090577,Timeless Current Account,3.0000000000000004
ZB055088,Zenith Gold Premium Current Account,2.1000000000000005
ZB087117,Zenith Salary Savings Account,1.2000000000000002
ZB003723,Education Loan,1.5000000000000002
ZB046312,ZIVA - Zenith Intelligent Virtual Assistant,1.8000000000000003
ZB073183,Save4Me Target Account,1.5000000000000002
ZB083601,Zenith Individual Savings Account,2.4000000000000004
ZB014542,Save4Me Target Account,1.8000000000000003
ZB016783,ZIVA - Zenith Intelligent Virtual Assistant,2.1000000000000005
ZB040664,Timeless Savings Account,2.7
ZB069030,Scan To Pay (QR Payments),1.8000000000000003
ZB094811,EazySave Classic Account,1.5000000000000002
ZB009255,Save4Me Target Account,1.5000000000000002
ZB025641,Zenith Gold Premium Current Account,2.1000000000000005
ZB045240,Zenith Salary Savings Account,1.5000000000000002
ZB079132,SME Grow My Biz Account,1.5000000000000002
ZB084778,Zenith Salary Savings Account,1.5000000000000002
ZB094677,Scan To Pay (QR Payments),1.2000000000000002
ZB005913,Zenith Individual Current Account,2.4000000000000004
ZB007877,Timeless Current Account,3.0000000000000004
ZB012216,Zenith Gold Premium Current Account,2.7
ZB027124,EazySave Classic Account,2.4000000000000004
ZB045445,Zenith Salary Savings Account,1.5000000000000002
ZB068850,Zenith Individual Savings Account,2.4000000000000004
ZB085304,Timeless Pension Advance Plus,2.1000000000000005
ZB016783,Zenith Mobile Banking App,1.8000000000000003
ZB028946,Timeless Current Account,2.1000000000000005
ZB032818,Zenith Individual Savings Account,2.7
ZB039949,Education Loan,2.1000000000000005
ZB034417,EazySave Classic Account,1.2000000000000002
ZB073286,EazySave Classic Account,1.8000000000000003
ZB084411,Zenith Salary Savings Account,1.5000000000000002
ZB016894,Zenith Individual Savings Account,1.5000000000000002
ZB033242,Save4Me Target Account,2.1000000000000005
ZB054433,Zenith Individual Current Account,1.8000000000000003
ZB094155,Zenith Individual Savings Account,1.5000000000000002
ZB009941,EazySave Classic Account,1.5000000000000002
ZB015132,Education Loan,1.5000000000000002
ZB015172,Zenith Individual Savings Account,0.9000000000000001
ZB091023,Save4Me Target Account,1.5000000000000002
ZB015703,Zenith Mobile Banking App,2.4000000000000004
ZB052264,Timeless Savings Account,2.7
ZB094537,Scan To Pay (QR Payments),1.2000000000000002
ZB032517,EazySave Classic Account,3.0000000000000004
ZB033930,EazySave Classic Account,2.1000000000000005
ZB072695,Zenith Internet Banking,2.1000000000000005
ZB073323,EazySave Classic Account,1.8000000000000003
ZB024924,Scan To Pay (QR Payments),1.5000000000000002
